Module,Filename,Function,Covered PCs,Total PCs
,arch/x86/entry/vsyscall/vsyscall_64.c,__traceiter_emulate_vsyscall,0,3
,arch/x86/entry/vsyscall/vsyscall_64.c,warn_bad_vsyscall.cold,0,1
,arch/x86/entry/vsyscall/vsyscall_64.c,warn_bad_vsyscall,1,2
,arch/x86/entry/vsyscall/vsyscall_64.c,trace_raw_output_emulate_vsyscall,0,5
,arch/x86/entry/vsyscall/vsyscall_64.c,trace_event_raw_event_emulate_vsyscall,0,9
,arch/x86/entry/vsyscall/vsyscall_64.c,pti_set_user_pgtbl,0,5
,arch/x86/entry/vsyscall/vsyscall_64.c,perf_trace_emulate_vsyscall,0,5
,arch/x86/entry/vsyscall/vsyscall_64.c,in_gate_area_no_mm,4,4
,arch/x86/entry/vsyscall/vsyscall_64.c,in_gate_area,5,7
,arch/x86/entry/vsyscall/vsyscall_64.c,get_gate_vma,4,5
,arch/x86/entry/vsyscall/vsyscall_64.c,gate_vma_name,1,1
,arch/x86/entry/vsyscall/vsyscall_64.c,emulate_vsyscall,5,49
,arch/x86/events/amd/core.c,amd_pmu_hw_config,0,17
,arch/x86/events/amd/core.c,amd_get_event_constraints_f15h,0,16
,arch/x86/events/amd/core.c,event_show,0,1
,arch/x86/events/amd/core.c,amd_get_event_constraints_f17h,0,3
,arch/x86/events/amd/core.c,amd_pmu_addr_offset,0,11
,arch/x86/events/amd/core.c,inv_show,0,1
,arch/x86/events/amd/core.c,amd_pmu_cpu_dead,0,6
,arch/x86/events/amd/core.c,amd_pmu_cpu_prepare,0,9
,arch/x86/events/amd/core.c,amd_pmu_disable_all,0,6
,arch/x86/events/amd/core.c,amd_pmu_wait_on_overflow,0,8
,arch/x86/events/amd/core.c,amd_pmu_disable_event,0,12
,arch/x86/events/amd/core.c,amd_pmu_disable_virt,0,1
,arch/x86/events/amd/core.c,amd_pmu_cpu_starting,0,11
,arch/x86/events/amd/core.c,amd_pmu_enable_virt,0,1
,arch/x86/events/amd/core.c,amd_pmu_event_map,0,5
,arch/x86/events/amd/core.c,amd_event_sysfs_show,0,1
,arch/x86/events/amd/core.c,umask_show,0,1
,arch/x86/events/amd/core.c,edge_show,0,1
,arch/x86/events/amd/core.c,cmask_show,0,1
,arch/x86/events/amd/core.c,amd_put_event_constraints_f17h,0,2
,arch/x86/events/amd/core.c,amd_put_event_constraints,0,7
,arch/x86/events/amd/core.c,amd_pmu_handle_irq,0,5
,arch/x86/events/amd/core.c,amd_get_event_constraints,0,18
,arch/x86/events/amd/ibs.c,perf_ibs_start,0,24
,arch/x86/events/amd/ibs.c,perf_ibs_resume,0,4
,arch/x86/events/amd/ibs.c,perf_ibs_nmi_handler,0,3
,arch/x86/events/amd/ibs.c,perf_ibs_init,0,24
,arch/x86/events/amd/ibs.c,perf_ibs_handle_irq,0,77
,arch/x86/events/amd/ibs.c,perf_ibs_event_update,0,7
,arch/x86/events/amd/ibs.c,perf_ibs_add,0,5
,arch/x86/events/amd/ibs.c,get_ibs_op_count,0,7
,arch/x86/events/amd/ibs.c,get_ibs_fetch_count,0,1
,arch/x86/events/amd/ibs.c,force_ibs_eilvt_setup.cold,0,2
,arch/x86/events/amd/ibs.c,x86_pmu_amd_ibs_starting_cpu,0,1
,arch/x86/events/amd/ibs.c,x86_pmu_amd_ibs_dying_cpu,0,6
,arch/x86/events/amd/ibs.c,force_ibs_eilvt_setup,0,18
,arch/x86/events/amd/ibs.c,cnt_ctl_show,0,1
,arch/x86/events/amd/ibs.c,setup_APIC_ibs.cold,0,1
,arch/x86/events/amd/ibs.c,setup_APIC_ibs,0,5
,arch/x86/events/amd/ibs.c,rand_en_show,0,1
,arch/x86/events/amd/ibs.c,perf_ibs_suspend,0,6
,arch/x86/events/amd/ibs.c,perf_ibs_stop,0,21
,arch/x86/events/amd/ibs.c,perf_ibs_del,0,2
,arch/x86/events/amd/ibs.c,get_ibs_caps,0,1
,arch/x86/events/amd/iommu.c,domid_show,0,1
,arch/x86/events/amd/iommu.c,_iommu_cpumask_show,0,1
,arch/x86/events/amd/iommu.c,perf_iommu_start,0,17
,arch/x86/events/amd/iommu.c,perf_iommu_stop,0,2
,arch/x86/events/amd/iommu.c,perf_iommu_read,0,3
,arch/x86/events/amd/iommu.c,perf_iommu_event_init,0,6
,arch/x86/events/amd/iommu.c,pasid_mask_show,0,1
,arch/x86/events/amd/iommu.c,perf_iommu_del,0,6
,arch/x86/events/amd/iommu.c,perf_iommu_add,0,12
,arch/x86/events/amd/iommu.c,pasid_show,0,1
,arch/x86/events/amd/iommu.c,perf_iommu_stop.part.0,0,5
,arch/x86/events/amd/iommu.c,_iommu_event_show,0,1
,arch/x86/events/amd/iommu.c,csource_show,0,1
,arch/x86/events/amd/iommu.c,devid_mask_show,0,1
,arch/x86/events/amd/iommu.c,devid_show,0,1
,arch/x86/events/amd/iommu.c,domid_mask_show,0,1
,arch/x86/events/amd/uncore.c,__uncore_threadmask8_show,0,1
,arch/x86/events/amd/uncore.c,amd_uncore_cpu_online,0,5
,arch/x86/events/amd/uncore.c,amd_uncore_cpu_starting,0,5
,arch/x86/events/amd/uncore.c,__uncore_enallcores_show,0,1
,arch/x86/events/amd/uncore.c,__uncore_event12_show,0,1
,arch/x86/events/amd/uncore.c,uncore_dead,0,5
,arch/x86/events/amd/uncore.c,event_to_amd_uncore,0,9
,arch/x86/events/amd/uncore.c,amd_uncore_stop,0,6
,arch/x86/events/amd/uncore.c,amd_uncore_start,0,8
,arch/x86/events/amd/uncore.c,amd_uncore_read,0,4
,arch/x86/events/amd/uncore.c,amd_uncore_find_online_sibling,0,9
,arch/x86/events/amd/uncore.c,amd_uncore_event_init,0,14
,arch/x86/events/amd/uncore.c,amd_uncore_cpu_down_prepare,0,5
,arch/x86/events/amd/uncore.c,amd_uncore_cpu_dead,0,5
,arch/x86/events/amd/uncore.c,amd_uncore_attr_show_cpumask,0,4
,arch/x86/events/amd/uncore.c,amd_uncore_alloc,0,1
,arch/x86/events/amd/uncore.c,amd_uncore_add,0,16
,arch/x86/events/amd/uncore.c,__uncore_umask_show,0,1
,arch/x86/events/amd/uncore.c,__uncore_enallslices_show,0,1
,arch/x86/events/amd/uncore.c,amd_uncore_cpu_up_prepare,0,10
,arch/x86/events/amd/uncore.c,amd_uncore_del,0,9
,arch/x86/events/amd/uncore.c,__uncore_coreid_show,0,1
,arch/x86/events/amd/uncore.c,uncore_down_prepare,0,6
,arch/x86/events/amd/uncore.c,uncore_online,0,7
,arch/x86/events/amd/uncore.c,__uncore_slicemask_show,0,1
,arch/x86/events/amd/uncore.c,__uncore_sliceid_show,0,1
,arch/x86/events/amd/uncore.c,__uncore_event8_show,0,1
,arch/x86/events/amd/uncore.c,__uncore_event14_show,0,1
,arch/x86/events/amd/uncore.c,__uncore_threadmask2_show,0,1
,arch/x86/events/core.c,x86_pmu_check_period,5,6
,arch/x86/events/core.c,x86_pmu_commit_txn,7,8
,arch/x86/events/core.c,native_read_msr,0,5
,arch/x86/events/core.c,x86_setup_perfctr,20,24
,arch/x86/events/core.c,x86_schedule_events,34,45
,arch/x86/events/core.c,max_precise_show,0,6
,arch/x86/events/core.c,is_visible,0,6
,arch/x86/events/core.c,hw_perf_lbr_event_destroy,1,1
,arch/x86/events/core.c,hw_perf_event_destroy,1,1
,arch/x86/events/core.c,get_segment_base,0,9
,arch/x86/events/core.c,x86_pmu_event_init,29,51
,arch/x86/events/core.c,get_attr_rdpmc,0,1
,arch/x86/events/core.c,events_hybrid_sysfs_show,0,11
,arch/x86/events/core.c,events_ht_sysfs_show,0,2
,arch/x86/events/core.c,collect_events,16,41
,arch/x86/events/core.c,collect_event,6,14
,arch/x86/events/core.c,check_hw_exists.cold,0,4
,arch/x86/events/core.c,check_hw_exists,0,43
,arch/x86/events/core.c,arch_perf_update_userpage,0,6
,arch/x86/events/core.c,x86_reserve_hardware,19,35
,arch/x86/events/core.c,x86_release_hardware,10,15
,arch/x86/events/core.c,x86_pmu_update_cpu_context,0,2
,arch/x86/events/core.c,x86_pmu_swap_task_ctx,0,1
,arch/x86/events/core.c,perf_assign_events,35,43
,arch/x86/events/core.c,x86_pmu_stop,6,7
,arch/x86/events/core.c,x86_pmu_starting_cpu,0,3
,arch/x86/events/core.c,x86_pmu_start_txn,3,4
,arch/x86/events/core.c,x86_pmu_start,6,9
,arch/x86/events/core.c,x86_pmu_show_pmu_cap,0,1
,arch/x86/events/core.c,x86_pmu_sched_task,0,1
,arch/x86/events/core.c,x86_pmu_read,1,1
,arch/x86/events/core.c,x86_pmu_prepare_cpu,0,3
,arch/x86/events/core.c,x86_pmu_online_cpu,0,1
,arch/x86/events/core.c,x86_pmu_max_precise,0,7
,arch/x86/events/core.c,x86_pmu_hw_config,20,38
,arch/x86/events/core.c,x86_pmu_handle_irq,0,11
,arch/x86/events/core.c,x86_pmu_filter_match,2,3
,arch/x86/events/core.c,x86_pmu_extra_regs,9,13
,arch/x86/events/core.c,allocate_fake_cpuc,5,10
,arch/x86/events/core.c,x86_pmu_event_unmapped,0,3
,arch/x86/events/core.c,x86_pmu_event_mapped,0,3
,arch/x86/events/core.c,x86_pmu_event_idx,0,4
,arch/x86/events/core.c,x86_pmu_enable_event,0,15
,arch/x86/events/core.c,x86_pmu_enable_all,0,18
,arch/x86/events/core.c,x86_pmu_enable,31,39
,arch/x86/events/core.c,x86_pmu_dying_cpu,0,3
,arch/x86/events/core.c,x86_pmu_disable_all,0,24
,arch/x86/events/core.c,_x86_pmu_read,0,1
,arch/x86/events/core.c,x86_pmu_disable,3,3
,arch/x86/events/core.c,x86_pmu_del,12,22
,arch/x86/events/core.c,perf_callchain_kernel,0,22
,arch/x86/events/core.c,perf_callchain_user,0,31
,arch/x86/events/core.c,perf_check_microcode,0,2
,arch/x86/events/core.c,perf_clear_dirty_counters,0,24
,arch/x86/events/core.c,perf_event_nmi_handler,0,3
,arch/x86/events/core.c,perf_event_print_debug,0,21
,arch/x86/events/core.c,perf_event_print_debug.cold,0,20
,arch/x86/events/core.c,perf_events_lapic_init,0,3
,arch/x86/events/core.c,perf_get_x86_pmu_capability,0,1
,arch/x86/events/core.c,perf_guest_get_msrs,0,1
